"Label","Description","Units (preferred) or format","Category","Used In"
"CO2_HD10_FLAG","Flag for the homogeneity test applied on differenced X variable (0: negligible evidences of error, IF HD10_STAT1)","nondimensional","FLUXES VARIABLES","ICOS"
"CO2_HD10_STAT","Statistic of the homogeneity test applied on differenced X variable (percentage of data exceeding µ±10σ)","%","FLUXES VARIABLES","ICOS"
"CO2_HD5_FLAG","Flag for the homogeneity test applied on differenced X variable (0: negligible evidences of error, IF HD5_STAT4)","nondimensional","FLUXES VARIABLES","ICOS"
"CO2_HD5_STAT","Statistic of the homogeneity test applied on differenced X variable (percentage of data exceeding µ±5σ)","%","FLUXES VARIABLES","ICOS"
"CO2_HF10_FLAG","Flag for the homogeneity test (0: negligible evidences of error, IF HF10_STAT1)","nondimensional","FLUXES VARIABLES","ICOS"
"CO2_HF10_STAT","Statistic of the homogeneity test applied on the X variable (percentage of data exceeding µ±10σ)","%","FLUXES VARIABLES","ICOS"
"CO2_HF5_FLAG","Flag for the homogeneity test (0: negligible evidences of error, IF HF5_STAT4)","nondimensional","FLUXES VARIABLES","ICOS"
"CO2_HF5_STAT","Statistic of the homogeneity test applied on the X variable (percentage of data exceeding µ±5σ)","%","FLUXES VARIABLES","ICOS"
"CO2_KID_FLAG","Flag for the W_KID_STAT (0: negligible evidences of error, IF KID_STAT50)","nondimensional","FLUXES VARIABLES","ICOS"
"CO2_KID_STAT","Kurtosis Index of differenced X variable","nondimensional","FLUXES VARIABLES","ICOS"
"CO2_SIGMA","Standard deviation of carbon dioxide in mole fraction of wet air","µmolCO2 mol-1","FLUXES VARIABLES","ICOS"
"FC","Carbon Dioxide (CO2) turbulent flux (no storage correction)","µmolCO2 m-2 s-1","FLUXES VARIABLES","ICOS"
"FC_FMR_FLAG","Flag for the FMR test (0: negligible evidences of error, IF FMR15)","nondimensional","FLUXES VARIABLES","ICOS"
"FC_FMR_STAT","Fraction of Missing Records in raw, high-frequency, data used for H flux estimation","%","FLUXES VARIABLES","ICOS"
"FC_LGD_FLAG","Flag for the LGD test (0: negligible evidences of error, IF LGD180)","nondimensional","FLUXES VARIABLES","ICOS"
"FC_LGD_STAT","Longest Gap Duration in raw, high-frequency, data used for H flux estimation","seconds","FLUXES VARIABLES","ICOS"
"FC_LSR_FLAG","Flag for the LSR test (0: negligible evidences of error, IF LSR_STAT>0.995; 1: moderate evidences of error, IF 0.99≤LSR_STAT≤0.995; 2: severe evidences of error, IF LSR_STAT","nondimensional","FLUXES VARIABLES","ICOS"
"FC_LSR_STAT","Statistic of the Low Signal Resolution test","nondimensional","FLUXES VARIABLES","ICOS"
"FC_M98_FLAG","Flag of the X_M98_STAT (0: negligible evidences of error, IF M_98_STAT3)","nondimensional","FLUXES VARIABLES","ICOS"
"FC_M98_STAT","Statistic of the nonstationarity ratio test by Mahrt (1998)","nondimensional","FLUXES VARIABLES","ICOS"
"FC_SCF_STAT","Spectral correction factor for the X variable","nondimensional","FLUXES VARIABLES","ICOS"
"","","","",""
"FETCH_50","Distance at which cross-wind integrated footprint cumulative probability is 50%","m","FLUXES VARIABLES","ICOS"
"FETCH_70","Distance at which cross-wind integrated footprint cumulative probability is 70%","m","FLUXES VARIABLES","ICOS"
"FETCH_80","Distance at which cross-wind integrated footprint cumulative probability is 80%","m","FLUXES VARIABLES","ICOS"
"FETCH_90","Distance at which cross-wind integrated footprint cumulative probability is 90%","m","FLUXES VARIABLES","ICOS"
"FETCH_MAX","Distance at which cross-wind integrated footprint contribution is maximum","m","FLUXES VARIABLES","ICOS"
"FETCH_OFFSET","Offset distance: distance at which cross-wind integrated footprint contribution is 1%","m","FLUXES VARIABLES","ICOS"
"FOOTPRINT_80_SURF","2D footprint 80% isoplethe area","m2","FLUXES VARIABLES","ICOS"
"FOOTPRINT_FLAG","Footprint flag (0: data used; 1: footprint model error; 2: invalid conditions for footprint model; 3: missing concurrent NEE data (after QC))","nondimensional","FLUXES VARIABLES","ICOS"
"FOOTPRINT_TA_CONTR","Cumulative footprint contribution of the footprint/target area intersection,m2 m-2","%","FLUXES VARIABLES","ICOS"
"FOOTPRINT_TA_SURF","Area of footprint/target area intersection","m2","FLUXES VARIABLES","ICOS"
"GA_DIAG_FLAG","Gas analyzer (GA) Flag for instrumental diagnostics (0: negligible evidences of error; 2: severe evidences of error)","nondimensional","FLUXES VARIABLES","ICOS"
"H","Sensible heat turbulent flux (no storage correction, cleaned)","W m-2","FLUXES VARIABLES","ICOS"
"","","","",""
"H_FMR_FLAG","Flag for the FMR test (0: negligible evidences of error, IF FMR15)","nondimensional","FLUXES VARIABLES","ICOS"
"H_FMR_STAT","Fraction of Missing Records in raw, high-frequency, data used for H flux estimation","%","FLUXES VARIABLES","ICOS"
"H_LGD_FLAG","Flag for the LGD test (0: negligible evidences of error, IF LGD180)","nondimensional","FLUXES VARIABLES","ICOS"
"H_LGD_STAT","Longest Gap Duration in raw, high-frequency, data used for H flux estimation","seconds","FLUXES VARIABLES","ICOS"
"H_LSR_FLAG","Flag for the LSR test (0: negligible evidences of error, IF LSR_STAT>0.995; 1: moderate evidences of error, IF 0.99≤LSR_STAT≤0.995; 2: severe evidences of error, IF LSR_STAT","nondimensional","FLUXES VARIABLES","ICOS"
"H_LSR_STAT","Statistic of the Low Signal Resolution test","nondimensional","FLUXES VARIABLES","ICOS"
"H_M98_FLAG","Flag of the X_M98_STAT (0: negligible evidences of error, IF M_98_STAT3)","nondimensional","FLUXES VARIABLES","ICOS"
"H_M98_STAT","Statistic of the nonstationarity ratio test by Mahrt (1998)","nondimensional","FLUXES VARIABLES","ICOS"
"H_OOR_FLAG","Flag for values out of the physically plausible range (0: within range; 1: out of range)","nondimensional","FLUXES VARIABLES","ICOS"
"H_OUTLYING_FLAG","Flag for outliers (0: no outlying flux; 1: outlying flux)","nondimensional","FLUXES VARIABLES","ICOS"
"H_SCF_STAT","Spectral correction factor for the X variable","nondimensional","FLUXES VARIABLES","ICOS"
"H_UNCLEANED","Sensible heat turbulent flux (no storage correction, uncleaned)","W m-2","FLUXES VARIABLES","ICOS"
"H2O","Water (H2O) vapor in mole fraction of wet air","mmolH2O mol-1","FLUXES VARIABLES","ICOS"
"H2O_AL1_FLAG","Flag for the autocorrelation at lag 1 for the X variable (0: negligible evidences of error, IF X_AL1_STAT>0.75; 1: moderate evidences of error, IF 0.5","nondimensional","FLUXES VARIABLES","ICOS"
"H2O_AL1_STAT","Autocorrelation at lag 1 for the X variable. Formerly (Rflux version < 3.2.0) named *_ACF_*","nondimensional","FLUXES VARIABLES","ICOS"
"H2O_DDI_FLAG","Flag for the X_DDI_STAT (0: negligible evidences of error, IF X_DDI_STAT  hz*60*5, where hz denoting the acquisition frequency)","nondimensional","FLUXES VARIABLES","ICOS"
"H2O_DDI_STAT","Maximum number of binned data points for the X variable (number of bins proportional to the sample size)","integer","FLUXES VARIABLES","ICOS"
"H2O_DIP_FLAG","Flag for the X_DIP_STAT (0: negligible evidences of error, IF X_DIP_STAT>0.1; 1: moderate evidences of error, IF 0.05","nondimensional","FLUXES VARIABLES","ICOS"
"H2O_DIP_STAT","P-value of the Hartigans’ Dip Test for Unimodality","nondimensional","FLUXES VARIABLES","ICOS"
"H2O_DRY","Water (H2O) vapor in mole fraction of dry air","mmolH2O mol-1","FLUXES VARIABLES","ICOS"
"H2O_HD10_FLAG","Flag for the homogeneity test applied on differenced X variable (0: negligible evidences of error, IF HD10_STAT1)","nondimensional","FLUXES VARIABLES","ICOS"
"H2O_HD10_STAT","Statistic of the homogeneity test applied on differenced X variable (percentage of data exceeding µ±10σ)","%","FLUXES VARIABLES","ICOS"
"H2O_HD5_FLAG","Flag for the homogeneity test applied on differenced X variable (0: negligible evidences of error, IF HD5_STAT4)","nondimensional","FLUXES VARIABLES","ICOS"
"H2O_HD5_STAT","Statistic of the homogeneity test applied on differenced X variable (percentage of data exceeding µ±5σ)","%","FLUXES VARIABLES","ICOS"
"H2O_HF10_FLAG","Flag for the homogeneity test (0: negligible evidences of error, IF HF10_STAT1)","nondimensional","FLUXES VARIABLES","ICOS"
"H2O_HF10_STAT","Statistic of the homogeneity test applied on the X variable (percentage of data exceeding µ±10σ)","%","FLUXES VARIABLES","ICOS"
"H2O_HF5_FLAG","Flag for the homogeneity test (0: negligible evidences of error, IF HF5_STAT4)","nondimensional","FLUXES VARIABLES","ICOS"
"H2O_HF5_STAT","Statistic of the homogeneity test applied on the X variable (percentage of data exceeding µ±5σ)","%","FLUXES VARIABLES","ICOS"
"H2O_KID_FLAG","Flag for the W_KID_STAT (0: negligible evidences of error, IF KID_STAT50)","nondimensional","FLUXES VARIABLES","ICOS"
"H2O_KID_STAT","Kurtosis Index of differenced X variable","nondimensional","FLUXES VARIABLES","ICOS"
"H2O_SIGMA","Standard deviation of water vapor mole fraction","mmolH2O mol-1","FLUXES VARIABLES","ICOS"
"ITC_FLAG","Flag for the ITC test (0: negligible evidences of error, IF ITC_STAT50)","nondimensional","FLUXES VARIABLES","ICOS"
"ITC_STAT","Statistic of the Integral Turbulence Characteristics test (Foken and Wichura, 1996)","%","FLUXES VARIABLES","ICOS"
"LE","Latent heat turbulent flux (no storage correction, cleaned)","W m-2","FLUXES VARIABLES","ICOS"
"LE_FMR_FLAG","Flag for the FMR test (0: negligible evidences of error, IF FMR15)","nondimensional","FLUXES VARIABLES","ICOS"
"LE_FMR_STAT","Fraction of Missing Records in raw, high-frequency, data used for H flux estimation","%","FLUXES VARIABLES","ICOS"
"LE_LGD_FLAG","Flag for the LGD test (0: negligible evidences of error, IF LGD180)","nondimensional","FLUXES VARIABLES","ICOS"
"LE_LGD_STAT","Longest Gap Duration in raw, high-frequency, data used for H flux estimation","seconds","FLUXES VARIABLES","ICOS"
"LE_LSR_FLAG","Flag for the LSR test (0: negligible evidences of error, IF LSR_STAT>0.995; 1: moderate evidences of error, IF 0.99≤LSR_STAT≤0.995; 2: severe evidences of error, IF LSR_STAT","nondimensional","FLUXES VARIABLES","ICOS"
"LE_LSR_STAT","Statistic of the Low Signal Resolution test","nondimensional","FLUXES VARIABLES","ICOS"
"LE_M98_FLAG","Flag of the X_M98_STAT (0: negligible evidences of error, IF M_98_STAT3)","nondimensional","FLUXES VARIABLES","ICOS"
"LE_M98_STAT","Statistic of the nonstationarity ratio test by Mahrt (1998)","nondimensional","FLUXES VARIABLES","ICOS"
"LE_OOR_FLAG","Flag for values out of the physically plausible range (0: within range; 1: out of range)","nondimensional","FLUXES VARIABLES","ICOS"
"LE_OUTLYING_FLAG","Flag for outliers (0: no outlying flux; 1: outlying flux)","nondimensional","FLUXES VARIABLES","ICOS"
"LE_SCF_STAT","Spectral correction factor for the X variable","nondimensional","FLUXES VARIABLES","ICOS"
"LE_UNCLEANED","Latent heat turbulent flux (no storage correction, uncleaned)","W m-2","FLUXES VARIABLES","ICOS"
"MISSING_LEV_ID_X","Position indexes of missing storage profile levels. Reported as decimal number, must be converted to binary representation (1/0) to see the actual missing level(s), 1 = sampled, 0 = missing. Level positions from 1 to N, from left to right","integer","FLUXES VARIABLES","ICOS"
"MISSING_LEV_N_X","Number of missing storage profile levels for a given half-hour","integer","FLUXES VARIABLES","ICOS"
"MO_LENGTH","Monin-Obukhov length","m","FLUXES VARIABLES","ICOS"
"NEE","Net Ecosystem Exchange (cleaned)","µmolCO2 m-2 s-1","FLUXES VARIABLES","ICOS"
"NEE_OOR_FLAG","Flag for values out of the physically plausible range (0: within range; 1: out of range)","nondimensional","FLUXES VARIABLES","ICOS"
"NEE_OUTLYING_FLAG","Flag for outliers (0: no outlying flux; 1: outlying flux)","nondimensional","FLUXES VARIABLES","ICOS"
"NEE_UNCLEANED","Net Ecosystem Exchange (uncleaned)","µmolCO2 m-2 s-1","FLUXES VARIABLES","ICOS"
"PBLH","Planetary boundary layer height, as estimated in the FFP function","m","FLUXES VARIABLES","ICOS"
"SA_DIAG_FLAG","Sonic anemometer (SA) Flag for instrumental diagnostics (0: negligible evidences of error; 2: severe evidences of error)","nondimensional","FLUXES VARIABLES","ICOS"
"SC","Carbon dioxide (CO2) storage flux","µmolCO2 m-2 s-1","FLUXES VARIABLES","ICOS"
"SC_OOR_FLAG","Flag for SC denoting values out of the physically plausible range (0: within range; 1: out of range)","nondimensional","FLUXES VARIABLES","ICOS"
"SC_UNC","Estimated uncertainty for SC","µmolCO2 m-2 s-1","FLUXES VARIABLES","ICOS"
"SC_UNC_FLAG","SC QC flag for uncertainty  (0: none; 1: flux data for which the estimated uncertainty exceeds the respective NEE absolute value by 3 times)","nondimensional","FLUXES VARIABLES","ICOS"
"SC_UNCLEANED","Carbon dioxide storage flux, not QC filtered","µmolCO2 m-2 s-1","FLUXES VARIABLES","ICOS"
"SH","Sensible heat (H) storage flux (only if air temperature is measured along a profile)","W m-2","FLUXES VARIABLES","ICOS"
"SH_OOR_FLAG","Flag for SH denoting values out of the physically plausible range (0: within range; 1: out of range)","nondimensional","FLUXES VARIABLES","ICOS"
"SH_UNC","Estimated uncertainty for SH","W m-2","FLUXES VARIABLES","ICOS"
"SH_UNC_FLAG","SC QC flag for uncertainty  (0: none; 1: flux data for which the estimated uncertainty exceeds the respective NEE absolute value by 3 times)","nondimensional","FLUXES VARIABLES","ICOS"
"SH_UNCLEANED","Sensible heat storage flux, not QC filtered","W m-2","FLUXES VARIABLES","ICOS"
"SLE","Latent heat (LE) storage flux (only if air temperature and H2O are measured along a profile)","W m-2","FLUXES VARIABLES","ICOS"
"SLE_OOR_FLAG","Flag for SLE denoting values out of the physically plausible range (0: within range; 1: out of range)","nondimensional","FLUXES VARIABLES","ICOS"
"SLE_UNC","Estimated uncertainty for SLE","W m-2","FLUXES VARIABLES","ICOS"
"SLE_UNC_FLAG","SLE QC flag for uncertainty  (0: none; 1: flux data for which the estimated uncertainty exceeds the respective NEE absolute value by 3 times)","nondimensional","FLUXES VARIABLES","ICOS"
"SLE_UNCLEANED","Latent heat storage flux, not QC filtered","W m-2","FLUXES VARIABLES","ICOS"
"SX_1P","Single-point storage flux for the X variable. Approximation of the actual storage flux as estimated from a single air sampling point at the EC system height","X specific","FLUXES VARIABLES","ICOS"
"SX_FLAG","Flag for the storage flux computation method for the X variable (0: flux from profile samplings; 1: flux from single-point; 2: linearly interpolated missing value; 3: linearly interpolated value discarded by the RFlux::cleanset SC QC procedure)","nondimensional","FLUXES VARIABLES","ICOS"
"T_SONIC","Sonic temperature","°C","FLUXES VARIABLES","ICOS"
"T_SONIC_AL1_FLAG","Flag for the autocorrelation at lag 1 for the X variable (0: negligible evidences of error, IF X_AL1_STAT>0.75; 1: moderate evidences of error, IF 0.5","nondimensional","FLUXES VARIABLES","ICOS"
"T_SONIC_AL1_STAT","Autocorrelation at lag 1 for the X variable. Formerly (Rflux version < 3.2.0) named *_ACF_*","nondimensional","FLUXES VARIABLES","ICOS"
"T_SONIC_DDI_FLAG","Flag for the X_DDI_STAT (0: negligible evidences of error, IF X_DDI_STAT  hz*60*5, where hz denoting the acquisition frequency)","nondimensional","FLUXES VARIABLES","ICOS"
"T_SONIC_DDI_STAT","Maximum number of binned data points for the X variable (number of bins proportional to the sample size)","integer","FLUXES VARIABLES","ICOS"
"T_SONIC_DIP_FLAG","Flag for the X_DIP_STAT (0: negligible evidences of error, IF X_DIP_STAT>0.1; 1: moderate evidences of error, IF 0.05","nondimensional","FLUXES VARIABLES","ICOS"
"T_SONIC_DIP_STAT","P-value of the Hartigans’ Dip Test for Unimodality","nondimensional","FLUXES VARIABLES","ICOS"
"T_SONIC_HD10_FLAG","Flag for the homogeneity test applied on differenced X variable (0: negligible evidences of error, IF HD10_STAT1)","nondimensional","FLUXES VARIABLES","ICOS"
"T_SONIC_HD10_STAT","Statistic of the homogeneity test applied on differenced X variable (percentage of data exceeding µ±10σ)","%","FLUXES VARIABLES","ICOS"
"T_SONIC_HD5_FLAG","Flag for the homogeneity test applied on differenced X variable (0: negligible evidences of error, IF HD5_STAT4)","nondimensional","FLUXES VARIABLES","ICOS"
"T_SONIC_HD5_STAT","Statistic of the homogeneity test applied on differenced X variable (percentage of data exceeding µ±5σ)","%","FLUXES VARIABLES","ICOS"
"T_SONIC_HF10_FLAG","Flag for the homogeneity test (0: negligible evidences of error, IF HF10_STAT1)","nondimensional","FLUXES VARIABLES","ICOS"
"T_SONIC_HF10_STAT","Statistic of the homogeneity test applied on the X variable (percentage of data exceeding µ±10σ)","%","FLUXES VARIABLES","ICOS"
"T_SONIC_HF5_FLAG","Flag for the homogeneity test (0: negligible evidences of error, IF HF5_STAT4)","nondimensional","FLUXES VARIABLES","ICOS"
"T_SONIC_HF5_STAT","Statistic of the homogeneity test applied on the X variable (percentage of data exceeding µ±5σ)","%","FLUXES VARIABLES","ICOS"
"T_SONIC_KID_FLAG","Flag for the W_KID_STAT (0: negligible evidences of error, IF KID_STAT50)","nondimensional","FLUXES VARIABLES","ICOS"
"T_SONIC_KID_STAT","Kurtosis Index of differenced X variable","nondimensional","FLUXES VARIABLES","ICOS"
"T_SONIC_SIGMA","Standard deviation of sonic temperature","°C","FLUXES VARIABLES","ICOS"
"TAU","Momentum flux","kg m-1 s-2","FLUXES VARIABLES","ICOS"
"TAU_FMR_FLAG","Flag for the FMR test (0: negligible evidences of error, IF FMR15)","nondimensional","FLUXES VARIABLES","ICOS"
"TAU_FMR_STAT","Fraction of Missing Records in raw, high-frequency, data used for H flux estimation","%","FLUXES VARIABLES","ICOS"
"TAU_LGD_FLAG","Flag for the LGD test (0: negligible evidences of error, IF LGD180)","nondimensional","FLUXES VARIABLES","ICOS"
"TAU_LGD_STAT","Longest Gap Duration in raw, high-frequency, data used for H flux estimation","seconds","FLUXES VARIABLES","ICOS"
